Comment,Designator,Footprint,JLCPCB Part #
VEJ101M1VTR-0810,C12,153CLV-0810,C225870
10n,C40,C0603,C57112
27R,"R10,R15,R24,R39,R54,R65,R68,R70",R0805,C17594
10k,"R4,R18,R19,R20,R32,R34,R44,R45,R47,R48,R57,R58,R83,R84,R85,R86,R87,R104,R112,R123,R124",R0402,C25744
MCP6004T-I/ST,"IC2,IC5",TSSOP14,C50282
100k,"R3,R9,R17,R22,R26,R36,R38,R50,R52,R55,R59,R61,R63,R64,R66,R67,R69,R72,R75,R77,R80,R82,R100,R101,R107,R108,R117,R121",R0402,C25741
100n,"C22,C26,C22,C26",C0603,C14663
300/1%,R102,R0402,C138010
30k,"R12,R46",R0402,C138008
SMBJ22A,D4,SMBJ,C284010
SS54,"D2,D6",DO-214AC,C2827918
LM2940,IC9,TO263,C434496
10u,C17,C0805,C15850
LM4041C12IDBZR,D1,DBZ_R-PDSO-G3,C151008
PESD1CAN,D11,SOT23,C343993
STM32F407VGT6,IC18,LQFP100,C12345
AO3400A,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14",SOT23,C20917
1M,"SJ1,SJ2,SJ3,R40,R97",R0402,C26083
2n2,C8,C0402,C1531
10n,C18,C0402,C15195
HR8825,IC7,TSSOP28,C2977761
2k4,"R27,R35,R43",R0402,C25882
22u,"C10,C29",C0805,C45783
470R,"R88,R95,R99,R106,R111,R113,R130,R133",R0402,C25117
SM4007PL,"D3,D5,D7,D8",SOD-123_MINI-SMA,C64898
4k7,"R2,R31,R109",R0402,C25900
Cmi201209u2r2kt,L1,FB603,C1043
120R,R41,R0805,C17437
X322516MLB4SI,U$10,X322516MLB4SI,C13738
33n,"C42,C48",C0402,C1585
W25Q128JVSIQ,U1,SO08W,C97521
SN65HVD230,U$2,SO8,C12084
SRV05,U$5 U$13 U$17 U$22,SOT23-6L,C558418
2u2,"C24,C27",C0402,C107369
10u,L2,R1210,C107341
10k,"R132,R138",R0805,C17414
4u7,"C47,C67",C0603,C1779
61R9,R103,R0603,C203709
X50328MSB2GI,U$6,X50328MSB2GI,C115962
CP2102-GMR,IC16,MLP28,C6568
31k6/1%,R105,R0402,C852720
220u,C7,153CLV-1014,C340768
1u,"C2,C23,C57,C58",C0402,C52923
220n,"C1,C5,C11,C13,C30,C36,C80",C0402,C16772
NUF2221W1,"IC10,IC17",SOT363_PHILIPS,C74936
910,"R89,R91,R92,R94,R96,R134,R135,R98,R89,R91,R92,R94,R96,R134,R135,R98",R0402,C44933
1k,"R1,R7,R8,R16,R21,R25,R29,R42,R49,R51,R56,R60,R62,R71,R74,R76,R78,R81,R93,R114,R115,R116,R118,R119,R120,R122,R125,R136,R137",R0402,C11702
18p,"C9,C37,C38,C39,C55",C0402,C1549
100n,"C25,C15,C31,C32,C33,C35,C52,C70,C4,C6,C16,C19,C20,C21,C28,C34,C41,C43,C44,C49,C50,C53,C65,C66,C68,C107,C25,C15,C31,C32,C33,C35,C52,C70,C4,C6,C16,C19,C20,C21,C28,C34,C41,C43,C44,C49,C50,C53,C65,C66,C68,C107,C25,C15,C31,C32,C33,C35,C52,C70,C4,C6,C16,C19,C20,C21,C28,C34,C41,C43,C44,C49,C50,C53,C65,C66,C68,C107,C25,C15,C31,C32,C33,C35,C52,C70,C4,C6,C16,C19,C20,C21,C28,C34,C41,C43,C44,C49,C50,C53,C65,C66,C68,C107",C0402,C1525
6k8,R79,R0402,C25917
ATMEGA328P-AU,IC6,TQFP32-08,C14877
470k,R110,R0402,C25790
MCP4725,IC19,SOT23-6,C144198
470n,C14,C0402,C47339
19-217/BHC-ZL1M2RY/3T blue,LED1,SML0603,C72041
KT-0603R red,LED4,SML0603,C2286
19-217/GHC-YR1S2/3 green,LED5,SML0603,C72043
1N4148,D10,SOD-123_MINI-SMA,C81598
TS-1187A-B-A-B,U$1,TS-1187A-B-A-B,C318884
DM3CS-SF,U$9,DM3CS-SF,C202111
AMS1117-3.3,IC14,SOT223,C6186
39k,"R6,R37,R73",R0402,C25783
TC4424AVOA713,"IC1,IC11,IC12,IC15",SO-08,C44150
3k9,R13,R0402,C51721
